dataset	sample	effect_id	block_size	high_source_spots	neighbor_spots	background_spots	neighbor_mean	background_mean	observed_delta	observed_ratio	block_null_delta_mean	block_null_ratio_mean	block_empirical_p_delta_ge_observed	survives_block_delta_p_0_05	source_variant	target_family	target_variant
GSE217414	19G0619	hla_drb5_only_to_pyruvate_mito_entry_minus_MPC1	12	0	0	3379	nan	0.15952756644958452	nan	nan	nan	nan	nan		hla_drb5_only	pyruvate_mito_entry	pyruvate_mito_entry_minus_MPC1
GSE217414	19G0619	hla_drb5_only_to_pyruvate_mito_entry_minus_MPC2	12	0	0	3379	nan	0.11363828264342556	nan	nan	nan	nan	nan		hla_drb5_only	pyruvate_mito_entry	pyruvate_mito_entry_minus_MPC2
GSE217414	19G0619	hla_drb5_only_to_pyruvate_mito_entry_minus_PDHA1	12	0	0	3379	nan	0.1750520324704846	nan	nan	nan	nan	nan		hla_drb5_only	pyruvate_mito_entry	pyruvate_mito_entry_minus_PDHA1
GSE217414	19G0619	hla_drb5_only_to_pyruvate_mito_entry_minus_PDHB	12	0	0	3379	nan	0.12010546681671282	nan	nan	nan	nan	nan		hla_drb5_only	pyruvate_mito_entry	pyruvate_mito_entry_minus_PDHB
GSE217414	19G0619	hla_drb5_only_to_glutamate_transamination	12	0	0	3379	nan	0.08098828473459153	nan	nan	nan	nan	nan		hla_drb5_only	glutamate_transamination	glutamate_transamination
GSE217414	19G0619	hla_drb5_only_to_glutamate_transamination_minus_GOT1	12	0	0	3379	nan	0.06676075924669161	nan	nan	nan	nan	nan		hla_drb5_only	glutamate_transamination	glutamate_transamination_minus_GOT1
GSE217414	19G0619	hla_drb5_only_to_glutamate_transamination_minus_GOT2	12	0	0	3379	nan	0.07339364210563157	nan	nan	nan	nan	nan		hla_drb5_only	glutamate_transamination	glutamate_transamination_minus_GOT2
GSE217414	19G0619	hla_drb5_only_to_glutamate_transamination_minus_GLUD1	12	0	0	3379	nan	0.08007702848012305	nan	nan	nan	nan	nan		hla_drb5_only	glutamate_transamination	glutamate_transamination_minus_GLUD1
GSE217414	19G0619	hla_drb5_only_to_glutamate_transamination_minus_GLS	12	0	0	3379	nan	0.10372170910591987	nan	nan	nan	nan	nan		hla_drb5_only	glutamate_transamination	glutamate_transamination_minus_GLS
GSE217414	19G0635	hla_drb5_original_to_pyruvate_mito_entry	12	1058	921	112	0.6904779590750527	0.34685900184253426	0.34361895723251845	1.9906589000348716	0.24671134228082076	1.5347938961109	0.009900990099009901	1	hla_drb5_original	pyruvate_mito_entry	pyruvate_mito_entry
GSE217414	19G0635	hla_drb5_original_to_pyruvate_mito_entry_minus_MPC1	12	1058	921	112	0.8737767193043152	0.44149874400059375	0.4322779753037215	1.9791148472738127	0.31625669104707865	1.5449713829226461	0.009900990099009901	1	hla_drb5_original	pyruvate_mito_entry	pyruvate_mito_entry_minus_MPC1
