cohort	sample_key	sample	sample_type	technology	n_spots	reaction	description	metric	mean	median	q25	q75	pct_negative	pct_positive	pct_zero
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	EX_o2_e	oxygen_exchange_negative_is_uptake	meanNormalized	-0.3165652986459367	-0.312225481714	-0.47975496666275	-0.14278349626124998	1.0	0.0	0.0
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	EX_o2_e	oxygen_exchange_negative_is_uptake	meanFlux	-316.56529864593676	-312.225481714	-479.75496666275	-142.78349626124998	1.0	0.0	0.0
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	EX_gln__L_e	glutamine_exchange	meanNormalized	-0.16584895038604022	-0.17875323482	-0.24344603947925	-0.08499779017675	0.9913096071815114	0.008690392818488572	0.0
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	EX_gln__L_e	glutamine_exchange	meanFlux	-165.8489503860402	-178.75323482000002	-243.44603947925	-84.99779017675	0.9913096071815114	0.008690392818488572	0.0
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	EX_glu__L_e	glutamate_exchange	meanNormalized	-0.018054003380987012	-0.0197892878015	-0.0397764973015	0.0027400868704999977	0.7233717450818107	0.2766282549181893	0.0
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	EX_glu__L_e	glutamate_exchange	meanFlux	-18.054003380987012	-19.789287801500002	-39.77649730150001	2.7400868704999994	0.7233717450818107	0.2766282549181893	0.0
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	EX_pyr_e	pyruvate_exchange	meanNormalized	0.10840388200325063	0.10277865583750001	0.06520532108624999	0.15157624433525002	0.014483988030814287	0.9855160119691857	0.0
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	EX_pyr_e	pyruvate_exchange	meanFlux	108.40388200325063	102.77865583750001	65.20532108625	151.57624433525	0.014483988030814287	0.9855160119691857	0.0
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	PYRt2m	pyruvate_transport_to_mitochondria	meanNormalized	-0.02523480158803387	-0.024916158174	-0.044821365722999995	-0.0045851199530000004	0.7945183676067995	0.2054816323932005	0.0
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	PYRt2m	pyruvate_transport_to_mitochondria	meanFlux	-25.23480158803387	-24.916158174	-44.821365723	-4.5851199529999995	0.7945183676067995	0.2054816323932005	0.0
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	PDHm	pyruvate_dehydrogenase_mitochondrial	meanNormalized	0.05041559709164417	0.050219889865499995	0.01815421604175	0.07901331677324999	0.0	0.9984083529636468	0.0015916470363532182
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	PDHm	pyruvate_dehydrogenase_mitochondrial	meanFlux	50.41559709164417	50.219889865499994	18.154216041749997	79.01331677324998	0.0	0.9984083529636468	0.0015916470363532182
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	LDH_L	lactate_dehydrogenase_l	meanNormalized	-0.016434853613209652	-0.009407667960000001	-0.045531871662749995	0.0247076784985	0.5717514483988031	0.4282485516011969	0.0
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	LDH_L	lactate_dehydrogenase_l	meanFlux	-16.43485361320965	-9.407667960000001	-45.53187166275	24.707678498499998	0.5717514483988031	0.4282485516011969	0.0
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	ASPTA	aspartate_transaminase_cytosol	meanNormalized	0.06555379371634686	0.05381695888400001	0.0096265287945	0.11080506531400001	0.1405106003692621	0.8591710702234673	0.00031832940727064365
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	ASPTA	aspartate_transaminase_cytosol	meanFlux	65.55379371634686	53.816958884	9.6265287945	110.80506531400002	0.1405106003692621	0.8591710702234673	0.00031832940727064365
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	ASPTAm	aspartate_transaminase_mitochondria	meanNormalized	0.07101740605599838	0.06765062736800001	0.045967197632750006	0.09580183267875	0.0	1.0	0.0
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	ASPTAm	aspartate_transaminase_mitochondria	meanFlux	71.01740605599838	67.650627368	45.96719763274999	95.80183267875	0.0	1.0	0.0
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	ASPGLUm	aspartate_glutamate_mitochondrial_transport	meanNormalized	0.0562119478832187	0.053727886712999995	0.02107097193075	0.08669435005025002	0.0	1.0	0.0
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	ASPGLUm	aspartate_glutamate_mitochondrial_transport	meanFlux	56.211947883218684	53.727886713000004	21.07097193075	86.69435005025	0.0	1.0	0.0
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	ALATA_L	alanine_transaminase	meanNormalized	0.04867068367712447	0.035243856436000004	0.012148090396250002	0.070286920915	0.010091042210479404	0.9899089577895206	0.0
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	ALATA_L	alanine_transaminase	meanFlux	48.670683677124465	35.243856436	12.14809039625	70.286920915	0.010091042210479404	0.9899089577895206	0.0
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	GLUN	glutaminase	meanNormalized	0.05329731806300844	0.0461512078205	0.015050518854499997	0.08535631603425	0.0	1.0	0.0
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	GLUN	glutaminase	meanFlux	53.29731806300844	46.15120782049999	15.050518854500002	85.35631603424999	0.0	1.0	0.0
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	GLUNm	glutaminase_mitochondrial	meanNormalized	0.11956150923906096	0.1301847169735	0.074303873991	0.16603787109325	0.0	1.0	0.0
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	GLUNm	glutaminase_mitochondrial	meanFlux	119.56150923906095	130.1847169735	74.30387399099999	166.03787109325	0.0	1.0	0.0
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	GLUDym	glutamate_dehydrogenase	meanNormalized	0.12545591925585634	0.127183610256	0.08734305241425	0.16245810989575	0.0023874705545298275	0.9976125294454702	0.0
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	GLUDym	glutamate_dehydrogenase	meanFlux	125.45591925585634	127.18361025600001	87.34305241425	162.45810989574997	0.0023874705545298275	0.9976125294454702	0.0
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	AKGDm	alpha_ketoglutarate_dehydrogenase	meanNormalized	0.04338904849548192	0.04260075455250001	0.030388428150749998	0.0566887263165	0.0	0.9998090023556376	0.0001909976443623862
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	AKGDm	alpha_ketoglutarate_dehydrogenase	meanFlux	43.38904849548192	42.60075455249999	30.38842815075	56.6887263165	0.0	0.9998090023556376	0.0001909976443623862
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	AKGMALtm	akg_malate_transport	meanNormalized	0.14766503286243585	0.14620154091550003	0.06666583522274999	0.21503247996949998	0.01728528681479595	0.9827147131852041	0.0
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	AKGMALtm	akg_malate_transport	meanFlux	147.66503286243585	146.2015409155	66.66583522275	215.0324799695	0.01728528681479595	0.9827147131852041	0.0
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	MDHm	malate_dehydrogenase_mitochondrial	meanNormalized	0.09369506938154619	0.08481191515700001	0.048858076839750006	0.1376616426945	0.014483988030814287	0.9855160119691857	0.0
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	MDHm	malate_dehydrogenase_mitochondrial	meanFlux	93.69506938154619	84.811915157	48.85807683975	137.66164269450002	0.014483988030814287	0.9855160119691857	0.0
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	MDH	malate_dehydrogenase_cytosol	meanNormalized	-0.07994421682879176	-0.07174882374699999	-0.125458377267	-0.020194313632999998	0.9370344432418667	0.06296555675813331	0.0
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	MDH	malate_dehydrogenase_cytosol	meanFlux	-79.94421682879175	-71.748823747	-125.45837726699999	-20.194313633	0.9370344432418667	0.06296555675813331	0.0
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	CSm	citrate_synthase_mitochondrial	meanNormalized	0.05876807511595311	0.057085178069	0.0239213252165	0.09054882543675	0.0	0.9927739224549564	0.007226077545043611
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	CSm	citrate_synthase_mitochondrial	meanFlux	58.76807511595312	57.085178068999994	23.9213252165	90.54882543675001	0.0	0.9927739224549564	0.007226077545043611
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	Biomass	biomass_synthesis	meanNormalized	0.0034294725384138147	0.003133722551786288	0.0018312468711089431	0.004725908432002788	0.0	0.9981855223785573	0.001814477621442669
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	Biomass	biomass_synthesis	meanFlux	0.4434958906056854	0.405249804	0.2368149775	0.6111496580000001	0.0	0.9981855223785573	0.001814477621442669
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	ATPS4mi	atp_synthase	meanNormalized	0.1386026256912334	0.126063825741	0.07838136465474999	0.1954721786025	0.0	0.9927420895142294	0.007257910485770676
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	ATPS4mi	atp_synthase	meanFlux	138.6026256912334	126.063825741	78.38136465475	195.47217860249995	0.0	0.9927420895142294	0.007257910485770676
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	lac_glc_mean	precomputed_ratio_from_spfba	obs	-74.34196705601288	-24.126197458821643	-54.84989379910297	-11.053409921124317	1.0	0.0	0.0
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	o2_glc_mean	precomputed_ratio_from_spfba	obs	296.69657359175864	95.99644284080073	42.22098494959665	203.06616326160625	0.0	1.0	0.0
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	o2_lac_mean	precomputed_ratio_from_spfba	obs	-14.123680209252027	-8.03091388035449	-11.411900039811314	-5.674686319054998	1.0	0.0	0.0
CRC_VisiumHD	CRC_P5	P5	crc_visiumhd	VisiumHD	31773	EX_lac__L_e	lactate_exchange_negative_is_uptake	meanNormalized	0.011545113152085389	0.015271063699999999	-0.03997777003499999	0.0666150625	0.39750731753375507	0.6024926824662449	0.0
CRC_VisiumHD	CRC_P5	P5	crc_visiumhd	VisiumHD	31773	EX_lac__L_e	lactate_exchange_negative_is_uptake	meanFlux	11.545113152085387	15.2710637	-39.977770035	66.6150625	0.39750731753375507	0.6024926824662449	0.0
CRC_VisiumHD	CRC_P5	P5	crc_visiumhd	VisiumHD	31773	EX_glc__D_e	glucose_exchange_negative_is_uptake	meanNormalized	-0.005846125661820863	-0.002531251259576569	-0.007988609305303544	-0.00058384205367652	0.8670884083970667	0.1329115916029333	0.0
CRC_VisiumHD	CRC_P5	P5	crc_visiumhd	VisiumHD	31773	EX_glc__D_e	glucose_exchange_negative_is_uptake	meanFlux	-4.99346198568404	-2.046354438	-6.849370572	-0.386790658	0.8392030969691248	0.16079690303087527	0.0
CRC_VisiumHD	CRC_P5	P5	crc_visiumhd	VisiumHD	31773	EX_o2_e	oxygen_exchange_negative_is_uptake	meanNormalized	-0.2012903522132532	-0.16745537238500002	-0.29490665623799994	-0.10580786568899998	1.0	0.0	0.0
CRC_VisiumHD	CRC_P5	P5	crc_visiumhd	VisiumHD	31773	EX_o2_e	oxygen_exchange_negative_is_uptake	meanFlux	-201.29035221325324	-167.45537238500003	-294.906656238	-105.807865689	1.0	0.0	0.0
CRC_VisiumHD	CRC_P5	P5	crc_visiumhd	VisiumHD	31773	EX_gln__L_e	glutamine_exchange	meanNormalized	-0.12397840223263727	-0.050080406827000004	-0.15761442392900002	-0.026232639833	0.9934850344632234	0.006514965536776508	0.0
CRC_VisiumHD	CRC_P5	P5	crc_visiumhd	VisiumHD	31773	EX_gln__L_e	glutamine_exchange	meanFlux	-123.97840223263727	-50.080406827000004	-157.614423929	-26.232639833	0.9934850344632234	0.006514965536776508	0.0
CRC_VisiumHD	CRC_P5	P5	crc_visiumhd	VisiumHD	31773	EX_glu__L_e	glutamate_exchange	meanNormalized	-0.01609245278662254	-0.022797177594	-0.044038875714999995	0.00025439829100000315	0.7486230447235074	0.2513769552764926	0.0
