dataset	sample_id	sample	tissue	effect_id	claim_layer	source	target	neighbor_background_ratio	empirical_p_ge_observed	z_score	positive_ratio	p_le_0_05	high_source_spots	neighbor_spots	background_spots
GSE217414	GSM6716965_19G0635	19G0635	CRLM	caf_to_met	CAF-to-MET	score_caf_core	MET	1.75827030095205	0.001996007984031936	9.656049594565527	1	1	524	594	973
GSE217414	GSM6716965_19G0635	19G0635	CRLM	caf_to_spp1_cxcl12_lite	CAF-to-stromal/myeloid	score_caf_core	score_spp1_cxcl12_axis_desoverlap_2026	1.4007158869949545	0.001996007984031936	24.699119138184216	1	1	524	594	973
GSE217414	GSM6716965_19G0635	19G0635	CRLM	caf_to_hla_drb5_lite	CAF-to-myeloid	score_caf_core	score_hla_drb5_macrophage_axis_desoverlap_2026	1.5143477529489013	0.001996007984031936	8.472652630707987	1	1	524	594	973
GSE217414	GSM6716965_19G0635	19G0635	CRLM	spp1_cxcl12_lite_to_myc	stromal/myeloid-to-MYC	score_spp1_cxcl12_axis_desoverlap_2026	MYC	1.3780752251298043	0.001996007984031936	21.781211184883325	1	1	523	615	953
GSE217414	GSM6716965_19G0635	19G0635	CRLM	spp1_cxcl12_lite_to_myc_glycolysis_lite	stromal/myeloid-to-tumor-metabolic	score_spp1_cxcl12_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	1.455178386213577	0.001996007984031936	21.17364277122697	1	1	523	615	953
GSE217414	GSM6716965_19G0635	19G0635	CRLM	hla_drb5_lite_to_myc	myeloid-to-MYC	score_hla_drb5_macrophage_axis_desoverlap_2026	MYC	1.4849107725277695	0.001996007984031936	14.518475978947993	1	1	1058	921	112
GSE217414	GSM6716965_19G0635	19G0635	CRLM	hla_drb5_lite_to_myc_glycolysis_lite	myeloid-to-tumor-metabolic	score_hla_drb5_macrophage_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	1.5417425458205747	0.001996007984031936	13.778525398766845	1	1	1058	921	112
GSE217414	GSM6716966_19G02977	19G02977	CRLM	caf_to_met	CAF-to-MET	score_caf_core	MET	1.9419829380086406	0.03992015968063872	1.9668173458281104	1	1	602	643	1072
GSE217414	GSM6716966_19G02977	19G02977	CRLM	caf_to_spp1_cxcl12_lite	CAF-to-stromal/myeloid	score_caf_core	score_spp1_cxcl12_axis_desoverlap_2026	1.5529582781284714	0.001996007984031936	15.634297544744172	1	1	602	643	1072
GSE217414	GSM6716966_19G02977	19G02977	CRLM	caf_to_hla_drb5_lite	CAF-to-myeloid	score_caf_core	score_hla_drb5_macrophage_axis_desoverlap_2026	1.2272905936521448	0.02594810379241517	1.9658977438491194	1	1	602	643	1072
GSE217414	GSM6716966_19G02977	19G02977	CRLM	spp1_cxcl12_lite_to_myc	stromal/myeloid-to-MYC	score_spp1_cxcl12_axis_desoverlap_2026	MYC	2.1248780585083638	0.001996007984031936	19.111396064284406	1	1	627	829	861
GSE217414	GSM6716966_19G02977	19G02977	CRLM	spp1_cxcl12_lite_to_myc_glycolysis_lite	stromal/myeloid-to-tumor-metabolic	score_spp1_cxcl12_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	2.1432567941261578	0.001996007984031936	21.068365724372523	1	1	627	829	861
GSE217414	GSM6716966_19G02977	19G02977	CRLM	hla_drb5_lite_to_myc	myeloid-to-MYC	score_hla_drb5_macrophage_axis_desoverlap_2026	MYC	1.3151187997678564	0.001996007984031936	5.081581326897087	1	1	453	1157	707
GSE217414	GSM6716966_19G02977	19G02977	CRLM	hla_drb5_lite_to_myc_glycolysis_lite	myeloid-to-tumor-metabolic	score_hla_drb5_macrophage_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	1.3304669812666594	0.001996007984031936	6.15551749573172	1	1	453	1157	707
