accession	archive_or_file	name	time	size_bytes	type	url
GSE231559	File	GSM7290763_SC10_24T_barcodes.tsv.gz	04/20/2023 15:12:40	32730	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290763/suppl/GSM7290763_SC10_24T_barcodes.tsv.gz
GSE231559	File	GSM7290763_SC10_24T_features.tsv.gz	04/20/2023 15:12:40	304728	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290763/suppl/GSM7290763_SC10_24T_features.tsv.gz
GSE231559	File	GSM7290763_SC10_24T_matrix.mtx.gz	04/20/2023 15:12:40	40673740	MTX	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290763/suppl/GSM7290763_SC10_24T_matrix.mtx.gz
GSE231559	File	GSM7290764_SC10_25N_barcodes.tsv.gz	04/20/2023 15:12:40	18116	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290764/suppl/GSM7290764_SC10_25N_barcodes.tsv.gz
GSE231559	File	GSM7290764_SC10_25N_features.tsv.gz	04/20/2023 15:12:40	304728	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290764/suppl/GSM7290764_SC10_25N_features.tsv.gz
GSE231559	File	GSM7290764_SC10_25N_matrix.mtx.gz	04/20/2023 15:12:40	23383423	MTX	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290764/suppl/GSM7290764_SC10_25N_matrix.mtx.gz
GSE231559	File	GSM7290765_SC10_26N_barcodes.tsv.gz	04/20/2023 15:12:40	25954	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290765/suppl/GSM7290765_SC10_26N_barcodes.tsv.gz
GSE231559	File	GSM7290765_SC10_26N_features.tsv.gz	04/20/2023 15:12:40	304728	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290765/suppl/GSM7290765_SC10_26N_features.tsv.gz
GSE231559	File	GSM7290765_SC10_26N_matrix.mtx.gz	04/20/2023 15:12:40	34124083	MTX	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290765/suppl/GSM7290765_SC10_26N_matrix.mtx.gz
GSE231559	File	GSM7290766_SC10_27N_barcodes.tsv.gz	04/20/2023 15:12:40	16464	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290766/suppl/GSM7290766_SC10_27N_barcodes.tsv.gz
GSE231559	File	GSM7290766_SC10_27N_features.tsv.gz	04/20/2023 15:12:40	304728	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290766/suppl/GSM7290766_SC10_27N_features.tsv.gz
GSE231559	File	GSM7290766_SC10_27N_matrix.mtx.gz	04/20/2023 15:12:40	24345420	MTX	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290766/suppl/GSM7290766_SC10_27N_matrix.mtx.gz
GSE231559	File	GSM7290767_SC10_28T_barcodes.tsv.gz	04/20/2023 15:12:40	21544	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290767/suppl/GSM7290767_SC10_28T_barcodes.tsv.gz
GSE231559	File	GSM7290767_SC10_28T_features.tsv.gz	04/20/2023 15:12:40	304728	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290767/suppl/GSM7290767_SC10_28T_features.tsv.gz
GSE231559	File	GSM7290767_SC10_28T_matrix.mtx.gz	04/20/2023 15:12:40	41969278	MTX	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290767/suppl/GSM7290767_SC10_28T_matrix.mtx.gz
