cohort	sample_key	sample	sample_type	technology	anchor	target_reaction	target_description	pearson_r	spearman_r	n_spots
SC087	SC087_A02991A2_LM4	LM4	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	AKGMALtm	akg_malate_transport	0.532454013752677	0.5753572236538745	9539
SC087	SC087_A02991A2_LM4	LM4	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	MDHm	malate_dehydrogenase_mitochondrial	0.02472410382138894	-0.0504100262889318	9539
SC087	SC087_A02991A2_LM4	LM4	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	MDH	malate_dehydrogenase_cytosol	-0.471911266954288	-0.44336749253231583	9539
SC087	SC087_A02991A2_LM4	LM4	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	CSm	citrate_synthase_mitochondrial	0.48754463920903707	0.5416427145095561	9539
SC087	SC087_A02991A2_LM4	LM4	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	Biomass	biomass_synthesis	-0.1859554349748794	0.03852590451178617	9539
SC087	SC087_A02991A2_LM4	LM4	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	ATPS4mi	atp_synthase	0.39921524449056434	0.4286852094836066	9539
SC087	SC087_A03389C5_LM4r	LM4r	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	PYRt2m	pyruvate_transport_to_mitochondria	-0.44433944327354596	-0.4631230699287461	11919
SC087	SC087_A03389C5_LM4r	LM4r	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	PDHm	pyruvate_dehydrogenase_mitochondrial	0.46208043806645	0.4038376405438572	11919
SC087	SC087_A03389C5_LM4r	LM4r	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	LDH_L	lactate_dehydrogenase_l	-1.0	-1.0	11919
SC087	SC087_A03389C5_LM4r	LM4r	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	ASPTA	aspartate_transaminase_cytosol	0.48070409411591636	0.5203149299360247	11919
SC087	SC087_A03389C5_LM4r	LM4r	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	ASPTAm	aspartate_transaminase_mitochondria	0.49578626162911127	0.3550861025101572	11919
SC087	SC087_A03389C5_LM4r	LM4r	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	ASPGLUm	aspartate_glutamate_mitochondrial_transport	0.6421638865103309	0.5334028957024682	11919
SC087	SC087_A03389C5_LM4r	LM4r	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	ALATA_L	alanine_transaminase	0.7203425953655879	0.7148334535864581	11919
SC087	SC087_A03389C5_LM4r	LM4r	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	GLUN	glutaminase	0.4806114139304573	0.4903645747128228	11919
SC087	SC087_A03389C5_LM4r	LM4r	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	GLUNm	glutaminase_mitochondrial	-0.037312451641756506	-0.1619074610984452	11919
SC087	SC087_A03389C5_LM4r	LM4r	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	GLUDym	glutamate_dehydrogenase	0.49127553663826834	0.343787987495125	11919
SC087	SC087_A03389C5_LM4r	LM4r	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	AKGDm	alpha_ketoglutarate_dehydrogenase	-0.0720421219341223	-0.17944386148459393	11919
SC087	SC087_A03389C5_LM4r	LM4r	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	AKGMALtm	akg_malate_transport	0.20767151488080549	0.1569850281390747	11919
SC087	SC087_A03389C5_LM4r	LM4r	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	MDHm	malate_dehydrogenase_mitochondrial	0.6010597952166717	0.48948695291652483	11919
SC087	SC087_A03389C5_LM4r	LM4r	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	MDH	malate_dehydrogenase_cytosol	-0.4933686246401337	-0.5347001496993016	11919
SC087	SC087_A03389C5_LM4r	LM4r	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	CSm	citrate_synthase_mitochondrial	0.5662854520135879	0.5071604824462779	11919
SC087	SC087_A03389C5_LM4r	LM4r	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	Biomass	biomass_synthesis	-0.07565394044484867	-0.0677416201201535	11919
SC087	SC087_A03389C5_LM4r	LM4r	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	ATPS4mi	atp_synthase	0.20297053839665344	0.1659116542442036	11919
