dataset	sample	effect_id	block_size	high_source_spots	neighbor_spots	background_spots	neighbor_mean	background_mean	observed_delta	observed_ratio	block_null_delta_mean	block_null_ratio_mean	block_empirical_p_delta_ge_observed	survives_block_delta_p_0_05	target
GSE225857	L2	hla_drb5_original_to_glutamate_transamination	12	1486	2343	967	0.11580365448090438	0.09509127587766397	0.020712378603240406	1.2178157608263362	0.01192979751657006	1.1160631438807027	0.04477611940298507	1	glutamate_transamination
GSE225857	L2	hla_drb5_original_to_glutamate_transamination	16	1486	2343	967	0.11580365448090438	0.09509127587766397	0.020712378603240406	1.2178157608263362	0.013812916898536986	1.1345465508666952	0.06965174129353234	0	glutamate_transamination
GSE225857	L2	hla_drb5_original_to_glutamate_transamination	20	1486	2343	967	0.11580365448090438	0.09509127587766397	0.020712378603240406	1.2178157608263362	0.0056715441996500774	1.05269319793077	0.009950248756218905	1	glutamate_transamination
GSE225857	L2	hla_drb5_original_to_lactate_import_anabolic	8	1486	2343	967	0.15781520513822675	0.14295548250627746	0.01485972263194929	1.1039465039845309	0.01785101961361628	1.123953452598732	0.8059701492537313	0	lactate_import_anabolic
GSE225857	L2	hla_drb5_original_to_lactate_import_anabolic	12	1486	2343	967	0.15781520513822675	0.14295548250627746	0.01485972263194929	1.1039465039845309	0.009258510574789354	1.0616018368997997	0.11940298507462686	0	lactate_import_anabolic
GSE225857	L2	hla_drb5_original_to_lactate_import_anabolic	16	1486	2343	967	0.15781520513822675	0.14295548250627746	0.01485972263194929	1.1039465039845309	0.013357425134664511	1.0900815737619158	0.3582089552238806	0	lactate_import_anabolic
GSE225857	L2	hla_drb5_original_to_lactate_import_anabolic	20	1486	2343	967	0.15781520513822675	0.14295548250627746	0.01485972263194929	1.1039465039845309	0.002365782250164199	1.0154270410338766	0.004975124378109453	1	lactate_import_anabolic
GSE225857	L2	hla_drb5_original_to_lactate_export_glycolytic	8	1486	2343	967	0.2217041662596694	0.2028272662074491	0.018876900052220313	1.0930688482135005	0.01771387688303112	1.0844066921500803	0.4228855721393035	0	lactate_export_glycolytic
GSE225857	L2	hla_drb5_original_to_lactate_export_glycolytic	12	1486	2343	967	0.2217041662596694	0.2028272662074491	0.018876900052220313	1.0930688482135005	0.008680507118211736	1.04037687550325	0.03980099502487562	1	lactate_export_glycolytic
GSE225857	L2	hla_drb5_original_to_lactate_export_glycolytic	16	1486	2343	967	0.2217041662596694	0.2028272662074491	0.018876900052220313	1.0930688482135005	0.010830842294896392	1.050357827812521	0.07960199004975124	0	lactate_export_glycolytic
GSE225857	L2	hla_drb5_original_to_lactate_export_glycolytic	20	1486	2343	967	0.2217041662596694	0.2028272662074491	0.018876900052220313	1.0930688482135005	-0.0020526423765804937	0.9914499033026732	0.004975124378109453	1	lactate_export_glycolytic
