sample_id	caf_core	cxcl13_t_cells	hgf_met_axis	macrophage_lipid_candidate	mcam_caf	myc_glycolysis_core	plasticity_emt
TCGA-D5-6534-01	1.587091	1.280537	1.245769	1.919382	1.436217	-1.096332	0.365598
TCGA-CK-6746-01	-1.062637	0.975287	-1.385104	0.185439	-0.744887	-0.100613	-0.931075
TCGA-A6-5656-01	-0.680484	-0.896412	-0.015311	-0.687643	-0.804115	-0.176031	0.285377
TCGA-5M-AAT6-01	1.072707	1.093542	0.694703	0.854501	1.115448	-0.117886	-0.872925
TCGA-QG-A5Z1-01	0.339367	-1.408099	1.123020	0.095975	0.230464	-0.216578	0.754428
TCGA-AZ-6605-11	1.048238	-0.495688	-1.569577	0.216518	2.115035	-1.781443	-1.074830
TCGA-CK-4951-01	0.948654	0.657409	0.505370	0.717393	0.738821	0.368570	-0.339232
TCGA-CM-6680-01	0.468279	0.323074	0.537304	0.582040	0.394244	-0.189686	0.578738
TCGA-CK-5913-01	0.481961	0.127643	-0.351079	0.130683	0.317651	1.316228	0.243349
TCGA-CM-6172-01	0.240595	-0.690668	0.796974	-0.327601	-0.139311	-0.336349	0.247336
TCGA-G4-6309-01	-0.368505	0.200192	-0.008894	-0.238729	-0.425155	0.770561	-0.175529
TCGA-F4-6461-01	0.628768	0.144804	0.243007	0.336031	0.620286	-0.229673	0.570468
TCGA-G4-6299-01	0.646323	0.869113	-0.307233	0.407438	0.493339	0.001833	-0.359606
TCGA-CM-6168-01	1.234165	0.283871	1.710274	0.868249	1.050054	0.147918	0.320619
TCGA-AD-A5EK-01	-0.116902	-0.595433	-0.038835	-0.584710	-0.115969	-0.790707	0.192747
TCGA-AM-5820-01	0.176071	-1.300872	1.053015	-0.133728	0.506126	-0.112934	-0.505666
TCGA-A6-2682-11	-0.827569	0.570909	-0.850793	0.405436	-0.925508	-0.443118	-0.074738
TCGA-A6-6648-01	-0.728641	-0.420412	0.675724	-0.404450	-0.632301	0.024345	0.091528
TCGA-CA-6717-01	0.750749	1.029888	1.121846	1.108782	0.801713	0.375553	0.046321
TCGA-AU-6004-01	0.629127	0.611101	0.020714	0.807728	0.505412	1.133600	0.002316
TCGA-A6-2684-01	0.713783	0.235146	0.316175	1.122055	0.674686	0.722649	0.423709
TCGA-AZ-6599-11	0.297281	-0.186268	-0.054849	0.414571	0.308659	-0.568797	0.246561
